Task,CDR and technical design studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Work package management (meetings)moved WP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Radiation Protection Study (specialist company),,,45.00,45.00,,90.00,,,,,,,,,,,,,,,,,,,,,,,,
Task,CDR and conceptual design development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,FFA  magnet prototype,,,,50.00,50.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,FFA MA Cavity prototype ,,,50.00,75.00,75.00,200.00,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Software ,2.50,2.50,2.50,2.50,2.50,12.50,,,,,,,,,,,,,,,,,,,,,,,,
EquipEnd,Sub-total,2.50,2.50,97.50,172.50,127.50,402.50,,,,,,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalEquip,Eqipment total,2.50,2.50,97.50,172.50,127.50,402.50,,,,,,,,,,,,,,,,,,,,,,,,
Consume,Consumables (Imp),3.00,3.00,3.00,3.00,3.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,
Travel,Travel,5.00,5.00,10.00,10.00,10.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,10.50,10.50,110.50,185.50,140.50,457.50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Apr-22,"Following Colin's recommendation, re-designate 2022/23 -> Year 1 etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-22,Fix STFC staff fractions to match those defined by N. Bliss in 1272-pm-sow-0001-v1.0 - lhara-wp6 stfc-dl-sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add task headings to reflect heading in 1272-pm-sow-0001-v1.0 - lhara-wp6 stfc-dl-sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Correct ""Meetings"" flag to ""OtherNonStaff"" to capture request for resources to cover meetings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Correct ""Study"" to ""Equipment"" so that the rdiation protection cost will appear correctly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Apr-22,KL: Taken fresh from SharePoint as advised by Jpa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Apr-22,KL: remove effort for first two quarters of 2022/23 as project notional start is Oct22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fix students at Imperial and RHUL so recruitment is into 2023/24 and cost of full student is carried by the project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Remove blank ""other non staff"" lines at end of table.  Tidy formating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct-21,KL: tidy for processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Oct-21,First version CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Nov-21,"STFC WP management added. Radiation protection non staff added, radiation protection staff reduced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2021,"JP: merging KL's version with 3.1 by NB/JP and adding sofware, and extra FTEs for RF and Diagnostics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2021,"JP: aiming to include escalation proposed by KL, while preserving technical staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
